Time,University 11kV,Corporation Street 11kV,Educational Precinct 11kV,Pilgrim 11kV,Gateshead Central 11kV,Close 11kV,Benwell 11kV,Team Valley 20kV,Birtley Grove 20kV,Dunston 11kV,Dunston 20kV,Westerhope 11kV,Blucher 11kV,Harraton Red 11kV,Blaydon Burn 11kV,West Wylam 20kV,Hexham 20kV,Riding Mill Pumps 11kV,Tanfield 11kV,Annfield T4 20kV,Annfield T3 20kV,Bensham 11kV,Kimberley Clarke North 11kV,Kimberley Clarke South 11kV,Dunston 11kV (via 20/11kV),Consett 20kV,Newcastle Airport 11kV,Newburn Haugh 11kV,Harraton Green 11kV,Birtley Grove 11kV,Great Park T1 33kV,Great Park T2 33kV,Kenton 11kV
15:00,22.55500325,10.9327281,15.23853701,18.24186968,13.29424781,23.60008088,16.93497143,28.71687964,8.864502153,14.20668022,14.32491903,9.927855784,12.16983703,17.41912829,14.70023218,17.4180555,23.46884473,7.68,11.65490975,19.49314676,19.49314676,15.96387466,15.23853701,7.68,14.20668022,17.61023905,11.19467179,6.37347323,17.41912829,12.58766386,17.21,17.21,14.06674301
15:30,22.40858348,11.02320679,15.3885642,17.90112748,13.36983511,23.46559205,17.36775558,28.38768761,9.026146131,14.35217206,14.76437499,10.33533799,12.65568053,17.72054649,15.01610514,17.82746694,23.78315161,8.23,11.98994316,19.98878657,19.98878657,16.51969065,15.3885642,8.23,14.35217206,18.03778489,11.54432112,6.523268204,17.72054649,13.03203772,16.84,16.84,14.57142647
16:00,22.19182529,11.14790873,15.61805314,17.38997304,13.4821081,23.21142747,18.02768016,27.9042909,9.275710772,14.57771603,15.43481017,10.94830344,13.40156451,18.17840614,15.50481288,18.45774145,24.27540309,8.23,12.50433575,20.75291363,20.75291363,17.36181553,15.61805314,8.23,14.57771603,18.69800792,12.07180777,6.752353994,18.17840614,13.70944539,17.58,17.58,15.34076982
16:30,21.62959782,11.22066424,15.78870487,16.45632551,13.50528558,22.7000614,18.80387088,26.87761942,9.542229229,14.75738109,16.25659673,11.73690595,14.35286757,18.66372239,16.05265319,19.181979,24.7253015,8.23,13.12528772,21.65138774,21.65138774,18.41345255,15.78870487,8.23,14.75738109,19.46233623,12.72267039,7.016122435,18.66372239,14.56221803,17.61,17.61,16.30889075
17:00,20.74125136,11.17951677,15.77775535,15.28081836,13.37434616,21.89825812,19.453,25.47307919,9.75,14.8353062,17.01070634,12.49031706,15.26610984,19.036,16.503,19.752,24.884,8.51,13.68960526,22.435,22.435,19.36620902,15.77775535,8.51,14.8353062,20.108,13.31592447,7.246,19.036,15.38737113,17.96,17.96,17.22060156
17:30,19.63963173,10.90381318,15.40688203,14.10472593,12.97416846,20.98818727,19.44297598,23.8765418,9.659438217,14.52819856,17.125,12.72623442,15.52829594,18.83856603,16.41227544,19.67296903,24.39418464,8.51,13.75,22.43305172,22.43305172,19.577,15.40688203,8.51,14.52819856,20.06688592,13.418,7.235769588,18.83856603,15.591,18.33,18.33,17.443
18:00,18.73147141,10.62223113,15.0169724,13.2219035,12.59393684,20.10816218,19.25794798,22.63542257,9.517216814,14.20615913,17.04795292,12.762,15.561,18.55156826,16.21022804,19.43989171,23.84166067,8.78,13.66879566,22.23483217,22.23483217,19.52903158,15.0169724,8.78,14.20615913,19.86085939,13.36306167,7.165182275,18.55156826,15.59036609,18.89,18.89,17.43091697
18:30,17.92594999,10.25398386,14.49993461,12.58932962,12.14418305,19.40173597,18.71742594,21.61912377,9.236718451,13.75068786,16.60719423,12.45831943,15.19296599,18.01780751,15.74187396,18.88583194,23.05345382,9.33,13.30883877,21.62680064,21.62680064,19.02094423,14.49993461,9.33,13.75068786,19.29976445,13.01639195,6.961891248,18.01780751,15.21728413,19.45,19.45,17.00174758
19:00,17.31694477,9.917954509,14.01268658,12.1558043,11.73361114,18.93519263,18.06413692,20.83670186,8.905919478,13.26385698,16.01884424,12.02860937,14.64910846,17.38314061,15.17503931,18.22400062,22.25123983,9.6,12.8319671,20.85404004,20.85404004,18.36111703,14.01268658,9.6,13.26385698,18.60867661,12.56601911,6.713694388,17.38314061,14.6741447,19.08,19.08,16.40146394
19:30,16.68375986,9.530857092,13.45177088,11.76430585,11.27307426,18.5842529,17.28616659,20.08232055,8.531331209,12.72802325,15.31773938,11.49295312,13.98816079,16.66170201,14.52397252,17.44090304,21.32514082,9.19,12.27161057,19.95215911,19.95215911,17.54968942,13.45177088,9.19,12.72802325,17.80353925,12.0205307,6.427217541,16.66170201,14.0258502,18.52,18.52,15.6744084
20:00,16.05101944,9.179028695,12.95206214,11.30584519,10.85123646,18.07789962,16.64097005,19.29224902,8.207096586,12.24315388,14.74344136,11.06919679,13.46376492,16.03344338,13.97219677,16.78956539,20.52666861,8.78,11.80859256,19.19908697,19.19908697,16.8997001,12.95206214,8.78,12.24315388,17.13062767,11.57437026,6.183771334,16.03344338,13.49870104,18.14,18.14,15.08929028
20:30,15.33584393,8.769546116,12.37220677,10.80006915,10.36542505,17.44811314,15.88717821,18.42782884,7.83334096,11.68796495,14.07209192,10.56708793,12.8496409,15.30216758,13.33666218,16.02733415,19.60109746,8.23,11.2698942,18.32447129,18.32447129,16.13489745,12.37220677,8.23,11.68796495,16.35163873,11.04948292,5.902705554,15.30216758,12.88165938,17.96,17.96,14.40199913
21:00,14.52622121,8.32018225,11.74701411,10.19437579,9.834366637,16.88832167,15.11707304,17.44555233,7.447932319,11.10290079,13.3987444,10.06825628,12.24958912,14.53686918,12.69012326,15.24415944,18.62372536,7.96,10.72956942,17.43999889,17.43999889,15.36889419,11.74701411,7.96,11.10290079,15.56347135,10.51769525,5.616873456,14.53686918,12.26953446,17.96,17.96,13.71944964
21:30,13.66781372,7.834132372,11.0595725,9.595910362,9.258924092,16.32032573,14.24265495,16.42385537,7.019141424,10.46495085,12.62981021,9.490540141,11.55039012,13.69653944,11.96026479,14.35711573,17.528847,7.68,10.11411128,16.43751934,16.43751934,14.48248096,11.0595725,7.68,10.46495085,14.6671974,9.912690309,5.295205389,13.69653944,11.57011347,17.96,17.96,12.93307075
22:00,12.83469032,7.358458854,10.37988294,9.023648371,8.694012229,15.30888139,13.34893318,15.43500301,6.578062425,9.811917838,11.83007542,8.891277298,10.8142116,12.83749351,11.20715214,13.45311488,16.43627864,7.13,9.472728241,15.397837,15.397837,13.5703838,10.37988294,7.13,9.811917838,13.7407415,9.289909212,4.962629623,12.83749351,10.83508213,17.58,17.58,12.11196044
22:30,12.01381629,6.817547346,9.5760288,8.54058517,8.041928734,14.31931446,12.10845172,14.4112864,5.967254332,8.956525987,10.66303423,8.006380585,9.684012616,11.67533998,10.13954712,12.21536685,15.06430561,6.86,8.533882624,13.90546739,13.90546739,12.2585997,9.5760288,6.86,8.956525987,12.42132386,8.402667686,4.489925291,11.67533998,9.723604758,16.84,16.84,10.8924432
23:00,11.11722905,6.201913115,8.695218497,8.0343654,7.32803911,13.44122397,10.7976137,13.36828188,5.33959584,8.075480629,9.44947612,7.059296524,8.518826392,10.46856007,9.044463188,10.91705949,13.61069086,6.31,7.567559517,12.36921568,12.36921568,10.85866745,8.695218497,6.31,8.075480629,11.06100964,7.458481542,3.999082434,10.46856007,8.576812281,16.46,16.46,9.619788388
23:30,10.357231,5.668210866,7.929298321,7.614312854,6.708304887,12.70452329,9.626541889,12.46166492,4.775488639,7.286434899,8.353819368,6.205050832,7.457969351,9.395357074,8.05625399,9.765757939,12.34179186,5.76,6.693412818,10.984294,10.984294,9.600984081,7.929298321,5.76,7.286434899,9.835156821,6.610866135,3.554473472,9.395357074,7.534030364,15.9,15.9,8.468776775
