0,1,2,3,4,5,6,7,8,9,10,11,12
104.0,105.0,0.03682,0.787,0.0,999.0,0.0,0.0,1.015,0.0,1.0,-360.0,360.0
71.0,72.0,0.008195,0.19506,0.0,999.0,0.0,0.0,1.05,0.0,1.0,-360.0,360.0
76.0,77.0,0.00846,0.19533,0.0,999.0,0.0,0.0,1.025,0.0,1.0,-360.0,360.0
74.0,75.0,0.00828,0.19836,0.0,999.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
68.0,69.0,0.008177,0.19533,0.0,999.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
99.0,98.0,0.02087,0.48,0.0,999.0,0.0,0.0,1.045,0.0,1.0,-360.0,360.0
101.0,103.0,0.03,0.63,0.0,999.0,0.0,0.0,1.015,0.0,1.0,-360.0,360.0
102.0,103.0,0.03,0.63,0.0,999.0,0.0,0.0,1.015,0.0,1.0,-360.0,360.0
100.0,98.0,0.02087,0.48,0.0,999.0,0.0,0.0,1.045,0.0,1.0,-360.0,360.0
120.0,95.0,0.022,0.9998,0.0,999.0,0.0,0.0,0.955,0.0,1.0,-360.0,360.0
121.0,116.0,0.029,1.002,0.0,999.0,0.0,0.0,0.955,0.0,1.0,-360.0,360.0
81.0,82.0,0.02647,0.9417,0.0,999.0,0.0,0.0,0.979101,0.0,1.0,-360.0,360.0
79.0,80.0,0.02671,0.9417,0.0,999.0,0.0,0.0,0.979101,0.0,1.0,-360.0,360.0
43.0,42.0,0.03601,0.6267,0.0,999.0,0.0,0.0,1.09,0.0,1.0,-360.0,360.0
41.0,42.0,0.03667,0.63,0.0,999.0,0.0,0.0,1.09,0.0,1.0,-360.0,360.0
39.0,40.0,0.02291,0.473,0.0,999.0,0.0,0.0,1.06,0.0,1.0,-360.0,360.0
38.0,40.0,0.02344,0.468,0.0,999.0,0.0,0.0,1.06,0.0,1.0,-360.0,360.0
114.0,113.0,0.03477,0.761,0.0,999.0,0.0,0.0,1.035,0.0,1.0,-360.0,360.0
115.0,113.0,0.03477,0.767,0.0,999.0,0.0,0.0,1.035,0.0,1.0,-360.0,360.0
123.0,127.0,0.0056,0.169733,0.0,999.0,0.0,0.0,1.0314,0.0,1.0,-360.0,360.0
122.0,128.0,0.0056,0.169733,0.0,999.0,0.0,0.0,1.0314,0.0,1.0,-360.0,360.0
130.0,129.0,1e-05,0.65,0.0,999.0,0.0,0.0,0.9668,0.0,1.0,-360.0,360.0
131.0,129.0,0.0001,0.65,0.0,999.0,0.0,0.0,0.966902,0.0,1.0,-360.0,360.0
132.0,133.0,0.04,0.75,0.0,24.0,0.0,0.0,1.03,0.0,1.0,-360.0,360.0
134.0,133.0,0.04,0.75,0.0,24.0,0.0,0.0,1.03,0.0,1.0,-360.0,360.0
135.0,136.0,0.0242,0.9817,0.0,999.0,0.0,0.0,1.0407,0.0,1.0,-360.0,360.0
137.0,136.0,0.0242,0.9863,0.0,0.0,0.0,0.0,1.0407,0.0,1.0,-360.0,360.0
139.0,138.0,0.0013658,0.0806476,0.0,240.0,0.0,0.0,0.96669,0.0,1.0,-360.0,360.0
43.0,141.0,0.0238,0.73125,0.0,0.0,0.0,0.0,1.02,0.0,1.0,-360.0,360.0
41.0,141.0,0.0238,0.73125,0.0,0.0,0.0,0.0,1.0225,0.0,1.0,-360.0,360.0
144.0,146.0,0.0476,0.82,0.0,24.0,0.0,0.0,1.0125,0.0,1.0,-360.0,360.0
145.0,146.0,0.04674,0.824,0.0,24.0,0.0,0.0,1.0125,0.0,1.0,-360.0,360.0
148.0,149.0,0.1312,0.789333,0.0,7.5,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
150.0,151.0,0.1312,0.789333,0.0,7.5,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
152.0,153.0,0.1968,0.884,0.0,5.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
154.0,155.0,1.18,4.06,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
156.0,157.0,2.75,8.65,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
158.0,159.0,1.55,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
160.0,161.0,20.48,45.44,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
162.0,163.0,0.3936,2.368,0.0,2.5,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
164.0,165.0,2.71,9.12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
166.0,167.0,0.248,0.9688,0.0,5.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
168.0,169.0,0.39,1.53,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
172.0,171.0,0.218667,1.31556,0.0,4.5,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
170.0,173.0,0.218667,1.31556,0.0,4.5,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
108.0,111.0,0.03139,0.58,0.0,999.0,0.0,0.0,1.06,0.0,1.0,-360.0,360.0
1367.0,112.0,0.03139,0.58,0.0,999.0,0.0,0.0,1.075,0.0,1.0,-360.0,360.0
112.0,1711.0,0.0405,0.405,0.0,10.0,0.0,0.0,0.9375,0.0,1.0,-360.0,360.0
